description,1,2,3,4,5,6,7,8,9,10,11,12
in play,0.18879168,0.218612475,0.18730005,0.152933928,0.115747575,0.078528552,0.035083252,0.014356933,0.005509786,0.002037763,0.000725257,0.000372749
walk,0,0,0,0.223076747,0.322568867,0.248465672,0.123459947,0.051986484,0.019971705,0.006969359,0.002393093,0.001108126
hbp,0.222906911,0.203074425,0.203830795,0.158404058,0.110652592,0.055704481,0.025349543,0.011434546,0.005105503,0.002057773,0.00096771,0.000511663
strikeout,0,0,0.165664514,0.291253187,0.265718008,0.177393525,0.066379613,0.022900162,0.007434391,0.002315282,0.000670213,0.000271105
